,Character,Specialty
0,BANGALORE,ASSAULT
1,LOBA,SUPPORT
2,LIFELINE,SUPPORT
3,PATHFINDER,ASSAULT
4,BLOODHOUND,RECON
5,HORIZON,ASSAULT
6,MAD_MAGGIE,ASSAULT
7,FUSE,ASSAULT
8,RAMPART,ENGINEER
9,WATTSON,ENGINEER
10,BALLISTIC,ASSAULT
11,SEER,RECON
12,CAUSTIC,ENGINEER
13,VANTAGE,RECON
14,CRYPTO,RECON
15,NEWCASTLE,SUPPORT
16,GIBRALTAR,SUPPORT
17,CATALYST,ENGINEER
18,CONDUIT,SUPPORT
19,REVENANT,ASSAULT
20,VALKYRIE,RECON
21,MIRAGE,SUPPORT
22,OCTANE,ASSAULT
23,ASH,ASSAULT
24,WRAITH,ASSAULT
25,BRAVA,RECON
26,OSA,RECON
27,FLORES,RECON
28,ZERO,RECON
29,IANA,RECON
30,LION,RECON
31,DOKKAEBI,RECON
32,JACKAL,RECON
33,MONTAGNE,RECON
34,TWITCH,RECON
35,IQ,RECON
36,GLAZ,RECON
37,SOLIS,RECON
38,MELUSI,RECON
39,WARDEN,RECON
40,MOZZIE,RECON
41,CLASH,RECON
42,MAESTRO,RECON
43,ALIBI,RECON
44,MIRA,RECON
45,ECHO,ASSAULT
46,CAVEIRA,RECON
47,PULSE,RECON
48,RAM,ASSAULT
49,GRIM,ASSAULT
50,ACE,ASSAULT
51,AMARU,ASSAULT
52,NØKK,ASSAULT
53,NOMAD,ASSAULT
54,MAVERICK,ASSAULT
55,FINKA,ASSAULT
56,ZOFIA,ASSAULT
57,YING,ASSAULT
58,HIBANA,ASSAULT
59,CAPITÃO,ASSAULT
60,BUCK,ASSAULT
61,SLEDGE,ASSAULT
62,THERMITE,ASSAULT
63,BLITZ,ASSAULT
64,TUBARÃO,ASSAULT
65,FENRIR,ASSAULT
66,AZAMI,ASSAULT
67,THORN,ASSAULT
68,ARUNI,ASSAULT
69,GOYO,ASSAULT
70,KAID,ASSAULT
71,ELA,ASSAULT
72,LESION,ASSAULT
73,FROST,ASSAULT
74,SMOKE,ASSAULT
75,CASTLE,ASSAULT
76,BANDIT,ASSAULT
77,TACHANKA,ASSAULT
78,KAPKAN,ASSAULT
79,KALI,ENGINEER
80,THATCHER,ENGINEER
81,FUZE,ENGINEER
82,WAMAI,ENGINEER
83,VIGIL,ENGINEER
84,MUTE,ENGINEER
85,JÄGER,ENGINEER
86,SENS,SUPPORT
87,GRIDLOCK,SUPPORT
88,BLACKBEARD,SUPPORT
89,THUNDERBIRD,SUPPORT
90,ORYX,SUPPORT
91,DOC,SUPPORT
92,ROOK,SUPPORT
93,WIDOWMAKER,ASSAULT
94,SOJOURN,ASSAULT
95,MEI,ASSAULT
96,HANZO,ASSAULT
97,REAPER,ASSAULT
98,SYMMETRA,ASSAULT
99,PHARAH,ASSAULT
100,CASSIDY,ASSAULT
101,ASHE,ASSAULT
102,TORBJÖRN,ASSAULT
103,GENJI,ASSAULT
104,SOMBRA,ASSAULT
105,TRACER,ASSAULT
106,SOLDIER: 76,ASSAULT
107,JUNKRAT,ASSAULT
108,BASTION,ASSAULT
109,LÚCIO,SUPPORT
110,ZENYATTA,SUPPORT
111,BRIGITTE,SUPPORT
112,ILLARI,SUPPORT
113,LIFEWEAVER,SUPPORT
114,KIRIKO,SUPPORT
115,MERCY,SUPPORT
116,MOIRA,SUPPORT
117,BAPTISTE,SUPPORT
118,ANA,SUPPORT
119,MAUGA,ENGINEER
120,ZARYA,ENGINEER
121,ORISA,ENGINEER
122,RAMATTRA,ENGINEER
123,D.VA,ENGINEER
124,SIGMA,ENGINEER
125,WRECKING BALL,ENGINEER
126,REINHARDT,ENGINEER
127,ROADHOG,ENGINEER
128,WINSTON,ENGINEER
129,DOOMFIST,ENGINEER
130,JUNKER QUEEN,ENGINEER
131,DOZER,ASSAULT
132,ZAIN,ASSAULT
133,MACKAY,ASSAULT
134,SUNDANCE,ASSAULT
135,CRAWFORD,ENGINEER
136,BORIS,ENGINEER
137,LIS,ENGINEER
138,FALCK,SUPPORT
139,ANGEL,SUPPORT
140,IRISH,SUPPORT
141,PAIK,RECON
142,CASPER,RECON
143,BLASCO,RECON
144,RAO,RECON
