NAME,variable,Character
Tele,LÚCIO,SUPPORT
Dark,LÚCIO,SUPPORT
Aspen,LÚCIO,SUPPORT
ƁEAR,LÚCIO,SUPPORT
Esteem,LÚCIO,SUPPORT
Seegulls,LÚCIO,SUPPORT
MommyMercy,LÚCIO,SUPPORT
Rulra,LÚCIO,SUPPORT
Sunshine,LÚCIO,SUPPORT
Knxght,LÚCIO,SUPPORT
Darkrai,LÚCIO,SUPPORT
mb4ife,LÚCIO,SUPPORT
LaMachine136,LÚCIO,SUPPORT
ayt,LÚCIO,SUPPORT
SavageQuill,LÚCIO,SUPPORT
Renegade,LÚCIO,SUPPORT
ØA7,LÚCIO,SUPPORT
blixepoops,LÚCIO,SUPPORT
Bmfolk511,LÚCIO,SUPPORT
LameColors,LÚCIO,SUPPORT
TDiddy1432,LÚCIO,SUPPORT
Kolander,LÚCIO,SUPPORT
Kantz,LÚCIO,SUPPORT
IcyGeLo,LÚCIO,SUPPORT
Kissland2013,LÚCIO,SUPPORT
yGllGllP,LÚCIO,SUPPORT
REAPER,LÚCIO,SUPPORT
FatherInLaw,LÚCIO,SUPPORT
Fireball1207,LÚCIO,SUPPORT
Gandalf,LÚCIO,SUPPORT
Lucky,LÚCIO,SUPPORT
thriftshop66,LÚCIO,SUPPORT
MonkeyLover1,LÚCIO,SUPPORT
Solace,LÚCIO,SUPPORT
Noah,LÚCIO,SUPPORT
Mesjasz,WIDOWMAKER,ASSAULT
GrakE24,WIDOWMAKER,ASSAULT
WoLF,WIDOWMAKER,ASSAULT
laxant3,WIDOWMAKER,ASSAULT
zexot,WIDOWMAKER,ASSAULT
Crabus,WIDOWMAKER,ASSAULT
fiendish,WIDOWMAKER,ASSAULT
ProdAngelo,WIDOWMAKER,ASSAULT
Naeris,WIDOWMAKER,ASSAULT
manually,WIDOWMAKER,ASSAULT
ØWRülë34GøD,WIDOWMAKER,ASSAULT
chlorine,WIDOWMAKER,ASSAULT
FEAR,WIDOWMAKER,ASSAULT
PaulMiller,WIDOWMAKER,ASSAULT
Violeto,WIDOWMAKER,ASSAULT
Marionette,WIDOWMAKER,ASSAULT
fafalure,WIDOWMAKER,ASSAULT
Kiotake,WIDOWMAKER,ASSAULT
Flaccid,WIDOWMAKER,ASSAULT
MagicGnome,WIDOWMAKER,ASSAULT
Kate,WIDOWMAKER,ASSAULT
CrystalGirl,WIDOWMAKER,ASSAULT
BruceWayne,WIDOWMAKER,ASSAULT
MƗKO,WIDOWMAKER,ASSAULT
NotWidow,WIDOWMAKER,ASSAULT
kawaiioil,WIDOWMAKER,ASSAULT
Maliboujee,WIDOWMAKER,ASSAULT
Adam,WIDOWMAKER,ASSAULT
Mesjasz,ZENYATTA,SUPPORT
bame,ZENYATTA,SUPPORT
uzixko,ZENYATTA,SUPPORT
ƁEAR,ZENYATTA,SUPPORT
Kleinebeer,ZENYATTA,SUPPORT
Cri,ZENYATTA,SUPPORT
L41D,ZENYATTA,SUPPORT
Nickst3r,ZENYATTA,SUPPORT
Silvoc,ZENYATTA,SUPPORT
Daltoosh66,ZENYATTA,SUPPORT
ManchaeLover,ZENYATTA,SUPPORT
FrozenButter,ZENYATTA,SUPPORT
MommyMercy,ZENYATTA,SUPPORT
DiegoAZ,ZENYATTA,SUPPORT
Generic,ZENYATTA,SUPPORT
Macedo,ZENYATTA,SUPPORT
joshgach,ZENYATTA,SUPPORT
Aizza,ZENYATTA,SUPPORT
Flaccid,ZENYATTA,SUPPORT
zyKii,ZENYATTA,SUPPORT
K24kai06,ZENYATTA,SUPPORT
Saxx,ZENYATTA,SUPPORT
SavageQuill,ZENYATTA,SUPPORT
ØA7,ZENYATTA,SUPPORT
julesbeams,ZENYATTA,SUPPORT
EmeraldOwl,ZENYATTA,SUPPORT
Turtlemanbob,ZENYATTA,SUPPORT
Lastnameboss,ZENYATTA,SUPPORT
Alex15can,ZENYATTA,SUPPORT
SheeshManess,ZENYATTA,SUPPORT
Sean,ZENYATTA,SUPPORT
SoggyRatTrea,ZENYATTA,SUPPORT
Nut,ZENYATTA,SUPPORT
yoshi04cgn04,ZENYATTA,SUPPORT
OneUWshUHad,ZENYATTA,SUPPORT
Phantom,ZENYATTA,SUPPORT
Latenci,SOJOURN,ASSAULT
xLuCy,SOJOURN,ASSAULT
Barbazul,SOJOURN,ASSAULT
Papi,SOJOURN,ASSAULT
Musaiz333,SOJOURN,ASSAULT
zexot,SOJOURN,ASSAULT
Crabus,SOJOURN,ASSAULT
Cosmic,SOJOURN,ASSAULT
Scarface,SOJOURN,ASSAULT
Cruvax,SOJOURN,ASSAULT
andreaspet,SOJOURN,ASSAULT
SteeVurkel,SOJOURN,ASSAULT
のあ,SOJOURN,ASSAULT
Metro,SOJOURN,ASSAULT
hatmouse,SOJOURN,ASSAULT
icedancer,SOJOURN,ASSAULT
CarryPotter,SOJOURN,ASSAULT
TrippyHippy,SOJOURN,ASSAULT
FR2NCH,SOJOURN,ASSAULT
Daddy,SOJOURN,ASSAULT
Waspd123,SOJOURN,ASSAULT
Clkwrkkng,SOJOURN,ASSAULT
angelvolado,SOJOURN,ASSAULT
tony,SOJOURN,ASSAULT
BT160611,SOJOURN,ASSAULT
tako,SOJOURN,ASSAULT
VM1R,SOJOURN,ASSAULT
Bomber,SOJOURN,ASSAULT
Askrel,SOJOURN,ASSAULT
n0rth,SOJOURN,ASSAULT
xDeadbolt323,SOJOURN,ASSAULT
Seraph,SOJOURN,ASSAULT
JGooz,SOJOURN,ASSAULT
Sanji,SOJOURN,ASSAULT
zend,SOJOURN,ASSAULT
MUMMY,SOJOURN,ASSAULT
Gloku,SOJOURN,ASSAULT
XxpandaxX,SOJOURN,ASSAULT
Sivieon,SOJOURN,ASSAULT
GritznGravy,SOJOURN,ASSAULT
SparkLoaded,SOJOURN,ASSAULT
Washed,SOJOURN,ASSAULT
ryno,SOJOURN,ASSAULT
StevoMali3,SOJOURN,ASSAULT
Demo,SOJOURN,ASSAULT
Turtlemanbob,SOJOURN,ASSAULT
lewdom,SOJOURN,ASSAULT
Morrison,SOJOURN,ASSAULT
thadeli,SOJOURN,ASSAULT
Plax,SOJOURN,ASSAULT
BootySnatcha,SOJOURN,ASSAULT
Alejan,SOJOURN,ASSAULT
Somebody945,MAUGA,ENGINEER
ttvichiritis,MEI,ASSAULT
マイティ躁,MEI,ASSAULT
ITridenteI,MEI,ASSAULT
SqLivA,MEI,ASSAULT
ave,MEI,ASSAULT
RoyalDumbass,MEI,ASSAULT
GeeGeek,MEI,ASSAULT
Kosi,MEI,ASSAULT
ĔŊĐĔŶŜǺŶ,MEI,ASSAULT
Morii,MEI,ASSAULT
lhcloudy,MEI,ASSAULT
