,name,Kills,Matches_Won,Headshots,WLRatio,Revives,Game,BANGALORE,LOBA,LIFELINE,PATHFINDER,BLOODHOUND,HORIZON,MAD MAGGIE,FUSE,RAMPART,WATTSON,BALLISTIC,SEER,CAUSTIC,VANTAGE,CRYPTO,NEWCASTLE,GIBRALTAR,CATALYST,CONDUIT,REVENANT,VALKYRIE,MIRAGE,OCTANE,ASH,WRAITH
0,ghavinci,51120,4259.0,49697.0,63.255606713203626,,Apex,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
1,Yukinowo,83654,4259.0,70094.0,591.5277777777778,3441.0,Apex,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2,Resrect,120411,4258.0,133439.0,16.21601035874781,20.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
3,vbleedingred,70541,4254.0,48366.0,82.0443587270974,4030.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
4,her crypt0,56409,4252.0,87558.0,,5140.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
5,ItsFearHimself,58025,4247.0,59237.0,,5448.0,Apex,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
6,MakeMeSayWhat,43088,4230.0,,,,Apex,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
7,AxAC_,76372,4230.0,56137.0,40.36644718007443,1.0,Apex,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,xlilbomberx710,43990,4229.0,,,,Apex,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
9,HavocXRonin,49468,4224.0,,-122.61248185776488,,Apex,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
