,Level,Kills,Damage,Wins,Kills As Kill Leader,Headshots,Finishers,Full Squad Wins,Times Top 3,Season 5 Wins,Season 6 Wins,Season 6 Kills,Season 7 Wins,Season 7 Kills,Season 10 Wins,Season 10 Kills,Season 11 Wins,Season 11 Kills,Season 15 Kills,Arena Wins,Top 3 Legends,name,Season 19 Wins,Season 19 Kills,Matches Played,Revives,SMG Kills,AR Kills,LMG Kills,Sniper Kills,Care Package Kills,Season 5 Kills,Season 9 Wins,Season 12 Wins,Season 12 Kills,Season 13 Wins,Season 13 Kills,Season 15 Wins,Season 16 Wins,Season 17 Wins,Season 18 Wins,Arena Kills,Arena Damage,Arena Winstreak,Pistol Kills,Season 8 Kills,Season 9 Kills,Winning Kills,Shotgun Kills,Season 8 Wins,Season 14 Wins,Season 16 Kills,Season 17 Kills,Peak Rank,Kills Per Match,Season 14 Kills,Damage Per Match,Season 18 Kills
0,"2,292","42,863","11,248,791","3,275",86,"49,320",90,"3,135",11,415,329,"2,748",67,821,353,"1,839",284,"3,213",31,1,"['Pathfinder', 'Wraith', 'Horizon']",dr k noizwtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1,622","49,582","14,868,487","3,273",466,"5,377",73,15,827,196,590,"5,559",614,"4,982",2,45,0,,,37,"['Wraith', 'Horizon', 'Bloodhound']",Stankiniii,429,"3,658","1,410","1,157",724,392,34,91,526,"1,457",0,18,266,0,0,2,2,3,69,0,0,84,,,,,,,,,,,,,,
2,"3,932","68,885","21,612,928","3,269",,"16,644",,864,,176,,"1,496",324,"2,281",,,,,,,"['Pathfinder', 'Lifeline', 'Bangalore']",THCnECCHI,72,843,,,,,,,,"8,448",707,,,,,,,,,"1,304","568,537",14,790,660,"6,760",,,,,,,,,,,
3,"2,008","52,131","12,242,300","3,270","5,116","44,322",511,"1,971","2,427",102,82,"1,020",3,"1,305",5,44,0,,296,371,"['Wraith', 'Wattson', 'Pathfinder']",shortflanker,8,110,"8,690","2,428","5,596","4,509",,441,"3,097",874,,32,386,0,,24,63,100,,"1,064","37,837",,,357,,638.00,"5,017",1,5,736,"1,235",,,,,
4,"2,185","69,463","125,999","3,266",,"76,104",,,,,,,0,,,,,,,,"['Horizon', 'Wraith', 'Bangalore']",Nicksxn,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"1,028",,200,"6,188",,,,
5,"4,458","79,178","18,932,396","3,265",,"62,103","5,015",,,227,4,"3,602",,"3,756",,"4,755",,"5,049","1,036",,"['Wattson', 'Vantage', 'Conduit']",naruto94king_ttv,,721,"1,257","12,037",,,,,,"3,619",,,"1,787",155,"2,540",51,,,,,,,,,"3,076",,"10,084",,,,"4,662",,1.31,,,
6,"1,702","79,547","18,854,986","3,264","18,475","84,315",,,,,,,,,308,"5,490",548,"11,055","5,945",,"['Seer', 'Conduit', 'Pathfinder']",Cynaqul,140,"2,432",706,932,"18,930",,,,,,,7,150,,,252,500,195,,7,,10,"8,819",,,,,,426,"11,299","5,346",,5.95,100,,
7,"2,168","49,112","12,058,186","3,263","1,288","52,301",,"2,608","4,010",138,215,"2,357",498,"4,112",152,,89,"1,014",962,,"['Pathfinder', 'Fuse', 'Mad Maggie']",Im Farro,133,"2,254",,,"10,459","12,166",,,83,82,509,254,"1,692",,,84,,304,,,,,,591,"4,259",,737,301,327,"1,668","2,269",,,"2,768",,
8,"3,987","94,581","21,441,030","3,256","7,974","63,884","1,430",,,389,222,,285,,,,,,"1,359",,"['Wraith', 'Pathfinder', 'Lifeline']",tonycooper1,,,,"5,335","16,080","10,506",,,,,,281,,0,,55,,,,,,,,,,890.00,"11,169",,,,,,,,,
9,"2,067","71,304","13,785,212","3,256",,"16,104",5,14,,197,0,,275,"5,155",,,,,,,"['Wattson', 'Horizon', 'Valkyrie']",mattsit,,,,,,"5,081",,,,"2,117",155,,,,,,,,,,,,,"2,186","2,344",,221,124,,,,,,,,
10,"2,177","41,878","13,214,684","3,253","6,760",,,,,,,,,,,,,,,,"['Bangalore', 'Pathfinder', 'Octane']",AZT3CA_MEXICANO5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"1,181","48,284","21,808","3,252",,,,,,,,,,,,,,,,,"['Mirage', 'Gibraltar', 'Wraith']",DogeIsACat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"2,420","41,797","12,058,954","3,249",432,"18,837",,229,"1,229",66,269,458,118,"1,293",98,836,,,,,"['Wraith', 'Horizon', 'Bloodhound']",The 4 for 4,,,99,,410,,8,,,539,,,,,,,1,,,,,,,,,,,,,2,,,,,,
13,"3,120","79,014","20,542,315","3,245","8,115","3,763",,495,"3,610",279,52,"1,198",116,"2,429",,,,,,,"['Wraith', 'Bangalore', 'Pathfinder']",Rizzutii,,,"18,438",,,,,,,"4,858",,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1,886","65,577","16,397,056","3,245",,"7,719",39,,,,,,,806,,,0,181,,,"['Wraith', 'Ballistic', 'Bangalore']",iSangAPEX,,420,,,,,,,,,5,,,,,,1,832,,,,,,,75,,,,0,5,"10,000",,,0,,
15,"3,211","126,143","28,724,468","3,238","2,684","45,362",,,"4,316",,,,46,"1,683",16,3,46,"1,158","6,491",,"['Pathfinder', 'Horizon', 'Wraith']",iScarfaceTTV,,,"19,916",,,37,,,,,93,,,,,,199,27,32,"3,761",,,,,"1,964",,,,,"4,904","8,603",,4.43,,"1,426.94",629
