,Level,Kills,Damage,Matches Played,Kills As Kill Leader,Headshots,Finishers,Full Squad Wins,Times Top 3,Shotgun Kills,SMG Kills,AR Kills,Season 5 Wins,Season 5 Kills,Season 6 Wins,Season 6 Kills,Season 7 Kills,Season 8 Wins,Season 8 Kills,Season 9 Wins,Season 10 Wins,Season 11 Wins,Season 11 Kills,Season 14 Wins,Season 15 Wins,Season 15 Kills,Season 16 Wins,Season 16 Kills,Season 17 Wins,Season 17 Kills,Arena Kills,Wins,Top 3 Legends,name,Season 19 Wins,Season 19 Kills,Winning Kills,Revives,Pistol Kills,LMG Kills,Sniper Kills,Care Package Kills,Season 7 Wins,Season 9 Kills,Season 10 Kills,Season 12 Wins,Season 12 Kills,Season 13 Wins,Season 13 Kills,Season 14 Kills,Arena Wins,Arena Damage,Season 18 Wins,Season 18 Kills,Kills Per Match
0,"8,630","252,522","68,263,891","32,360","1,407","210,441",7,7,"17,544","10,012","70,092","71,564",24,"18,333",13,"17,054",1,17,163,"1,328",3,"1,252","16,430","1,439",1,27,0,7,"1,810","18,907",219,"23,232","['Bloodhound', 'Fuse', 'Horizon']",SwG_Assassin_,,,,,,,,,,,,,,,,,,,,,
1,"7,138","329,995","70,583,668","1,778","87,257","334,471","12,189","15,329","20,517","23,067","110,761","97,742","1,276",973,"1,126","19,413","15,692","1,079","18,063","1,253","1,301",759,"15,918",468,"1,135","21,027",424,"6,011",,,97,"18,934","['Pathfinder', 'Bangalore', 'Horizon']",Maddbrooo,335,"9,421","8,915.00","22,153","29,707","12,839","7,258","18,955",918,2,"23,384",733,"12,388",999,"23,148","9,285",24,"30,736",,,
2,"3,409","257,084","67,998,810","2,983","31,390","260,242",62,0,"5,372","19,858","61,821","62,808",835,"4,396",675,"9,254","7,377",619,"6,626","1,082",740,"1,004","12,201",999,,,631,"10,569",,,"2,221","17,985","['Lifeline', 'Loba', 'Wraith']",upthrow,508,"10,822","4,066.00","49,454","37,323",179,,"15,393",48,"15,470","10,622",728,"8,951",377,"4,771","15,833",479,,,,
3,"4,600","166,441","34,578,199",394,741,"212,191","5,794","14,544","17,102",,"30,861","78,468","1,244","6,091",552,75,100,"1,041",175,881,59,687,"1,433",25,247,,248,,,,8,"15,377","['Lifeline', 'Horizon', 'Conduit']",tyson,"1,338","20,201","6,037.00","20,371",,"1,690","1,847","12,412",61,"4,634",,"1,079",,211,,"10,010",9,,,,
4,"6,751","181,808","48,793,265","1,750","6,240","176,401","3,373","5,710","8,029",265,"22,041","50,371","1,559","16,142",134,"1,325",,104,"7,430",623,,87,"1,220",,251,"2,755",,,182,"2,771",,"13,134","['Wraith', 'Octane', 'Loba']",Spunfiower,,,"2,093.00","11,587",,137,,"6,658",23,1,,,,,,,,,,,
5,"6,075","174,400","43,405,104",,,"177,781",657,"12,061",,"15,571","27,455","62,523",,"6,514",466,"5,927","11,116",,"21,089",,,938,300,,69,0,,,,,0,"12,987","['Wattson', 'Wraith', 'Mirage']",Neo lll,,,"1,922.00","8,529",,,"2,967",,"1,763","14,839",,,,,,,,,,,
6,"5,988","132,755","37,383,645",415,"12,120","177,851",,"6,715",,,,,"1,717","14,204","1,726","10,695",,"2,002",120,133,,,,,"1,394","13,624",351,"3,602",712,"8,056",,"12,925","['Lifeline', 'Bangalore', 'Bloodhound']",SoggieWaffl3s_FB,,,,"19,785",,,,,,978,,,,,,,,,,,
7,"6,088","164,973","42,586,233","15,594",,"150,754","8,171","8,402","6,666",,"39,121","38,024","1,337","12,991",862,"9,545",11,,,,13,940,"14,122",,,,307,"3,410",,,29,"12,649","['Caustic', 'Lifeline', 'Bangalore']",Giggle autumn,,"3,242",,"19,126","5,509",,"1,747","19,281",873,"9,732","12,054",232,"3,114",613,"9,366",,6,"10,998",,,
8,"1,123","145,151","36,791,632","44,353","6,389","191,633","4,134","11,334","15,737","12,684","40,233","45,973","1,078","10,560",977,"9,734","16,768","1,732","15,798","1,594","1,079",589,"7,609",29,585,"7,400",165,"2,019",86,898,"6,318","12,512","['Crypto', 'Wraith', 'Gibraltar']",gambhit,,,"4,299.00","15,474","10,947","7,180","2,466","4,582","2,042","14,282","12,805",296,"4,656",170,"2,795",708,968,"2,815,107",,,
9,"7,761","179,396","47,591,898","3,556","25,556","238,948","11,285","10,313","15,391",,"59,509","49,450","1,171","13,431","1,057","12,351","15,214",775,"10,104",17,"1,561","1,192","16,192",,74,"1,202",,,,,"1,850","12,094","['Wattson', 'Wraith', 'Lifeline']",JoeyyHydroTV,41,"1,317","1,369.00","25,153","9,085","11,234",956,"20,656","1,236","16,296","20,350",510,"8,082",413,"7,090",,348,"770,731",,,
10,"6,554","128,780","34,349,741",,79,"6,207","1,248","2,534",,,,59,"1,929","15,743",581,"1,154","4,681",,,409,"2,591",,,,,,,,,,146,"11,900","['Octane', 'Valkyrie', 'Seer']",seabrehh,,,,,"1,763",,"1,330",,965,"4,032","19,744",,,,,,29,"45,112",,,
11,"1,675","128,539","28,255,920","1,330","18,710","159,886","6,471","10,097","13,686","15,763","27,801","27,572","1,810","13,392","1,513","11,685","14,458","1,866","12,905",105,17,,,,63,"2,027",260,"5,074",17,614,,"11,703","['Wraith', 'Lifeline', 'Horizon']",Thy Nico,635,"16,741","3,651.00","15,003","6,376",,,,"2,187","1,199",255,,,,,,36,,6,,
12,"5,352","198,443","50,031,741",282,"40,468","225,175","1,203","2,214",,"21,175","78,579","15,251",435,"4,460",76,815,"10,547",,,972,749,496,"7,787",659,,"3,614",,,782,"17,867",245,"11,325","['Wraith', 'Octane', 'Pathfinder']",vashy__,211,"12,532","4,077.00","20,517","29,151","5,509",,621,942,"13,393","11,174",,,259,"5,761","12,932",50,"88,508",,"8,738",
13,"5,373","162,750","40,022,735","11,864","12,914","61,413","2,034",7,,416,"20,877",110,666,"7,532",959,"8,822","20,386",817,,50,106,172,"3,309",491,,473,325,807,,,185,"11,024","['Horizon', 'Wraith', 'Loba']",TheCountessGodTV,,,41.00,,"1,866","7,957","2,516","10,175","1,356","14,385","1,372",45,863,128,"1,537","6,871",40,"46,970",,,
14,"4,299","146,389","36,072,612",,"1,359","94,118",271,,,,,,185,"1,954",,,,,,450,,243,"2,969",946,,,,,,,,"10,878","['Pathfinder', 'Horizon', 'Lifeline']",risperdal,,,,,,,,487,,"5,725",,,,,,,,,,,
15,"6,613","169,800","39,370,316",,"33,102","170,589","11,522",,"8,382","19,565","35,631","43,828","1,566","1,131",9,132,"17,540","1,012","14,901","1,454","1,136",378,"7,084",280,,,141,"2,780",,,,"10,591","['Crypto', 'Bloodhound', 'Seer']",Toxicfireblood7,,,,"14,249","11,019","10,746",,,"1,168","21,321","18,979",0,0,249,"4,090","4,118",,,,,
16,"4,651","144,699","37,760,172",,"10,252","194,052",371,"7,037",,,"58,805","35,584",,,"1,089","13,311","13,251",808,"9,932","1,695",,,"12,144",,,,297,"4,740",,,75,"10,545","['Bangalore', 'Wraith', 'Octane']",DoctahDrayTV,,,"2,006.00","12,049","13,329",,,,,2,,,,,"5,151",,20,"26,075",,,
17,"4,155","106,043","30,315,541",,"13,829",726,673,"6,218",,,"39,534",,7,0,17,,,8,,5,6,607,,,,,,,,,684,"10,074","['Bangalore', 'Bloodhound', 'Mirage']",Legacy,,,,,"2,166","2,416","2,061",,8,,,,,,,,,,,,
18,"4,359","165,654","21,476,260","30,934",,"119,332",23,"6,128","9,823","15,063","10,556",,277,"5,041",322,"5,413","6,927",723,"10,393",0,666,9,"14,626",,495,"7,051",612,"12,345","2,002","30,000",307,"10,029","['Lifeline', 'Wraith', 'Octane']",NRK Cosmic,,,,"10,409","14,024",,,"4,096",505,1,1,"1,190","20,002",,,,1,,,"1,000",
19,"2,895","162,316","23,598,088","14,871","38,285","52,043","5,689",0,"3,315",148,"27,586","18,739",510,"6,985",192,158,748,499,105,508,342,90,"1,345",644,513,"7,326",827,"12,331",256,"8,424",294,"9,999","['Loba', 'Lifeline', 'Seer']",Halaven,,,,"10,388","6,772",213,388,194,766,"7,278","4,991",733,"12,680",,"1,743","8,711",1,,,"4,937",
20,"4,002","119,127","23,062,644",,"22,292","101,739",,"8,749",,,,,"1,215","12,249","1,145",,,,,,,,,,,,,,,,195,"9,955","['Wraith', 'Horizon', 'Pathfinder']",Apollosally,,,,,,32,,,66,,,,,,,,59,,,,
21,"3,562","74,336","10,443,854",,,"62,570","2,005","8,106",,,,,"1,138",,"1,204",,,,,352,,,,,,,,,,,,"9,870","['Wraith', 'Lifeline', 'Loba']",Xbebesiitaa,,,,"4,802",,,,,75,,,,,,,,,,,,
22,"4,685","117,161","25,489,557",,"19,457","101,176",8,"5,403",,"6,479","26,382","32,188",786,"9,286",638,,467,851,"11,751",845,196,552,"4,449",,811,,500,,58,542,"1,142","9,628","['Lifeline', 'Octane', 'Bloodhound']",Shorty Claps,107,"1,081","3,091.00","17,125",,"6,103","3,628","17,382",556,"10,112",,349,"5,073",5,"4,172",,192,,,"1,115",
23,"5,544","107,623","28,322,940",,"15,324","122,702","2,758","3,159","1,782","10,009","36,201","29,643",15,"8,820",9,369,"7,857",2,"6,010",,112,524,"9,908",,120,"1,474",80,"3,900",,,811,"9,576","['Crypto', 'Wraith', 'Seer']",RvstyYouTube,,"1,869","3,164.00",397,"6,066",,,"1,767",15,,"5,706",120,"2,590",155,"8,112","1,196",130,,98,"2,534",
24,"1,560","171,276","35,496,190","33,893","31,103","176,471","9,115",824,,"14,126","43,025","45,109","1,229","15,211","1,058","14,000","8,403",675,"12,584","1,240",0,709,"11,994",,160,"4,576",,"4,030",225,"12,227","7,653","9,569","['Octane', 'Caustic', 'Rampart']",ShiFTy_GribsTV,19,980,473.00,"1,713",,"30,836","2,263","6,148",592,293,,516,,3,"7,961","12,697","1,942","3,154,884",27,522,
25,767,"88,368","25,626,646",,,"1,906","2,630","7,688","8,346",,,,24,,"1,005","7,883","7,163",496,,723,"1,391",771,,,,,,,,,,"9,516","['Lifeline', 'Loba', 'Gibraltar']",hi-imJU,,,"1,856.00","16,181",,"4,301",,31,"1,119","7,710","3,125",,,,,,2,,,,
26,"4,905","149,500","38,529,858",,"11,177","3,592",,,9,"7,732","18,856","39,143",567,"1,823",311,"3,427","12,629",,,,231,,,,105,,,,,,,"9,487","['Wraith', 'Bangalore', 'Horizon']",Muertei,,,,,,172,49,"5,910",10,,,,,,,,,,,,
27,"4,015","114,616","29,532,892",,31,"52,387","2,238",,,,,,56,864,,,,,,,,249,,661,,,,,,,,"9,435","['Wattson', 'Vantage', 'Wraith']",mrchillaxttv,,,0.00,99,,,17,,,,,,,,,"18,519",,,,,
28,"5,922","208,272","50,095,932",,"1,204",,,10,25,,"60,413","52,166",279,"12,419",0,"10,670","11,669","1,014","16,298",0,831,0,0,,,0,,,103,"2,090",,"9,432","['Revenant', 'Wraith', 'Bloodhound']",RevengefulYT,,,,59,,,"1,582",6,,"16,821","13,434",,,0,0,,,,,"3,355",
