,Level,Kills,Damage,Matches Played,Kills Per Match,Winning Kills,Headshots,Finishers,Revives,Full Squad Wins,SMG Kills,Sniper Kills,Season 5 Wins,Season 5 Kills,Season 6 Wins,Season 6 Kills,Season 8 Wins,Season 8 Kills,Season 9 Wins,Season 9 Kills,Season 10 Wins,Season 10 Kills,Season 11 Wins,Season 11 Kills,Season 12 Wins,Season 12 Kills,Season 13 Wins,Season 13 Kills,Season 14 Wins,Season 14 Kills,Season 15 Wins,Season 15 Kills,Season 17 Wins,Season 17 Kills,Wins,Top 3 Legends,name,Season 19 Wins,Season 19 Kills,Kills As Kill Leader,Season 7 Wins,Season 7 Kills,Shotgun Kills,AR Kills,Season 16 Kills,Arena Kills,Arena Wins,Arena Damage,Times Top 3,Pistol Kills,LMG Kills,Season 16 Wins,Care Package Kills,Season 18 Wins,Season 18 Kills,Neutral Airdrops Looted,Arena Winstreak,Peak Rank,Damage Per Match
0,"5,305","100,406","19,699,431","2,043",3.44,43.00,"81,852",624,"6,117","1,944","10,235",28,753,77,59,59,431,"3,343",844,"1,351",430,"4,056",482,"5,545",381,"3,959",471,"6,358",281,"3,340",488,"5,908",265,"5,890","7,939","['Loba', 'Wraith', 'Horizon']",XParmeSean,,,,,,,,,,,,,,,,,,,,,,
1,"1,567","139,135","39,090,296",,,,"78,281",,,,,,,,,,153,"3,144",,,,,,,,,,,,,6,135,,,"7,827","['Wraith', 'Horizon', 'Pathfinder']",FTX_ImperialHa1,8,163,"5,209",24,494,,,,,,,,,,,,,,,,,
2,"4,942","109,863","28,708,556",,,750.00,"140,585","1,998","8,986","5,296","33,015",,150,"2,694",236,"4,579",799,"7,726",25,160,,"10,463",,"12,250",,,,,,,,,,"6,475","7,780","['Loba', 'Lifeline', 'Wraith']",lildib tv,,,"11,259","1,251","14,561","7,650","26,463","3,875",129,24,"41,278",,,,,,,,,,,
3,"2,414","130,686","34,870,068","16,252",,,"95,490","1,063",,,,45,155,117,268,"2,244",,,,,,,,,,,,,,,,,,,"7,712","['Wraith', 'Pathfinder', 'Seer']",EternalO2O,,,"23,277",12,178,"10,501",106,3,,,,"4,992","21,615","1,710",0,,,,,,,
4,"1,116","154,434","35,491,037",,,"2,165.00","156,650","2,799","10,129","4,317","43,274",638,,,,,"1,615","23,713","1,279","20,116",912,"13,066",772,"14,873",420,"8,008",,"1,771",91,"1,213",640,"9,156",118,"1,894","7,681","['Horizon', 'Lifeline', 'Wraith']",crustytoestv,51,"1,246","29,690","1,214","23,209","8,141","47,700","1,949","1,543",350,"570,718","8,599","6,257","7,985",146,"16,973",,,,,,
5,"2,105","89,929","25,580,045",,,"2,371.00","138,167","1,544","16,000","6,613","25,501",895,,,,,,,689,122,609,59,4,74,709,72,7,99,9,47,498,"5,086",293,"4,363","7,631","['Mirage', 'Pathfinder', 'Caustic']",CaliTommygunz,202,"4,149",,,,,"29,007","5,609","3,958",828,"1,581,312","11,527","7,402",,448,48,178,"3,145",,,,
6,"1,594","179,342","36,916,805","35,318",,13.00,"199,476","1,166",,"1,855","38,217",,170,"2,126",84,305,154,,939,"17,692",490,"9,062",335,"11,215",,,201,105,,,634,"12,589",,,"7,543","['Wattson', 'Wraith', 'Loba']",FukSzn8Man,,,"24,218",,,,"40,487","5,905",994,227,,"9,470","3,008",,386,136,,,829,,,
7,"3,359","96,012","31,890,364","25,927",2.67,567.00,"104,256","1,194","4,703","6,076","15,714",982,103,"2,204",138,"2,120",445,"5,365",380,"3,744",242,"2,695",244,"4,018",243,"3,311",284,"4,093",448,"6,766",841,"11,447",904,"10,988","7,413","['Rampart', 'Bangalore', 'Wraith']",sneakeezeTTV,631,"9,451","10,001",318,"4,147",,"15,638","13,562","1,735",231,"751,276","10,504",,"6,699","1,278","2,771",609,"7,059",,10,,
8,"3,418","79,007","16,487,795","27,586",1.83,903.00,"81,328","6,573","10,102","5,878","18,407","1,313",31,"10,902",176,970,176,68,12,"9,681",142,93,149,337,106,,84,,202,0,75,0,48,352,"7,384","['Mirage', 'Wraith', 'Bloodhound']",kog bamboozled,,,"3,090",35,"6,154","2,379","13,306","6,591",,11,,"10,671",908,"3,119","1,304",,,,,,,
9,930,"110,738","28,348,578","1,658",,"3,111.00","132,737",,"19,901","5,934","33,039",124,1,"3,988",2,339,598,"8,976",957,"10,875",910,"8,769",399,"4,495",161,"2,388",,,,,,,,,"7,382","['Lifeline', 'Pathfinder', 'Wraith']",Synical Syns,,424,"19,230",18,"1,643",,"47,965",,,,,"11,148",61,,,666,,,,,,
