,Level,Kills,Damage,Matches Played,Kills As Kill Leader,Headshots,Finishers,Revives,Full Squad Wins,SMG Kills,AR Kills,Sniper Kills,Care Package Kills,Season 5 Wins,Season 6 Wins,Season 8 Wins,Season 8 Kills,Season 12 Wins,Season 12 Kills,Wins,Top 3 Legends,name,Winning Kills,Times Top 3,Pistol Kills,LMG Kills,Season 5 Kills,Season 6 Kills,Season 7 Wins,Season 7 Kills,Season 9 Wins,Season 9 Kills,Season 10 Wins,Season 10 Kills,Season 11 Wins,Season 11 Kills,Season 13 Wins,Season 13 Kills,Season 14 Wins,Arena Kills,Shotgun Kills,Season 15 Kills,Season 16 Wins,Season 16 Kills,Season 19 Wins,Season 19 Kills,Season 15 Wins,Season 17 Wins,Season 17 Kills,Kills Per Match,Season 14 Kills,Arena Wins,Arena Damage,Season 18 Wins,Arena Winstreak,Season 18 Kills,Damage Per Match,Neutral Airdrops Looted,Peak Rank
0,"3,007","77,510","6,722,456","6,931","2,706","10,353","2,513","12,366","4,120","13,685","23,790",1,"2,930",98,4,823,"6,193",454,13,"6,186","['Lifeline', 'Loba', 'Wraith']",rosalinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"5,429","140,219","23,961,477","10,990","20,360","122,271","1,943","2,777","8,864",,,,"1,229",371,79,77,,"1,198","12,382","6,157","['Pathfinder', 'Horizon', 'Wraith']",cleanershrimp,"1,892.00","5,895",438,13,987,"1,053",714,"3,774",544,"3,364",391,767,420,"4,594",722,"5,427",0,134,,,,,,,,,,,,,,,,,,,
2,"2,767","104,065","26,906,042",,40,"61,326","2,171","4,783","1,380",509,"19,260",131,"7,941",518,307,466,"6,489",371,"4,737","6,148","['Loba', 'Wraith', 'Bloodhound']",ewade10,,"2,944",,98,"8,655","5,093",590,"8,161",464,"5,644",,,,,,0,,,"2,590","3,531",342,"4,700",,,,,,,,,,,,,,,
3,"3,396","56,197","20,838,532",96,0,,,,,,,"5,708",9,659,528,232,,274,,"6,300","['Crypto', 'Mirage', 'Lifeline']",ProblmG3nius,,593,,4,"4,836","3,004",329,993,315,"2,329",409,"1,161",389,"1,158",96,,51,,,"1,842",311,"1,237",224,"2,662",330,318,"2,025",,,,,,,,,,
4,"4,155","126,649","31,727,498","29,141","20,121","159,154",2,,,"21,624","30,081",,,10,528,40,"11,742",,,"6,121","['Pathfinder', 'Valkyrie', 'Bangalore']",wyattep,"3,167.00","5,006","10,328",336,"11,226","7,724",933,151,112,"11,135",,,449,"10,031",,,,,"12,709",,,,,,,,,3.73,,,,,,,,,
5,"3,444","133,869","33,299,892","16,256","78,608","170,948","2,929","7,660","2,188","31,091","59,897",,"6,090",83,,835,"15,236",692,"12,850","6,116","['Mirage', 'Wattson', 'Pathfinder']",imdameat,"5,125.00","6,396","5,538","9,625",,,135,"2,461",10,"20,517",756,"16,328",618,"12,727",250,"5,331",673,212,"7,378","15,789",114,"2,292",,,726,,,,"15,000",34,"75,821",,,,,,
6,"2,403","69,235","18,216,829",,,"100,065",,,,,,,,,,,,382,,"6,108","['Wraith', 'Bloodhound', 'Bangalore']",xEuphoriaTTV,,,,,,,1,,487,1,"1,111","7,777",,,283,,394,,,,590,"7,727",,,522,469,"6,013",,,50,,,,,,,
7,"3,430","149,254","34,359,333",,,"201,695",,,,,"37,861",,,,,35,733,594,108,"6,106","['Gibraltar', 'Valkyrie', 'Octane']",Gaiveston,,,,,,,,,,,,"4,112",,,975,"14,917",5,,"27,494","19,818",657,"10,452",663,"17,251","1,251",550,"10,000",,"7,507",,,,,,,,
8,"4,846","94,840","24,832,605",,,"99,498","3,527","10,001","4,652","15,188","18,262",687,"2,442",214,0,242,"7,545",37,"2,428","6,104","['Octane', 'Bloodhound', 'Pathfinder']",Lil-Koifish,805.00,"4,029","4,515","2,402","1,468",55,"1,182","11,478",17,"15,015",,,,10,,,,"1,539","2,747",,,"5,000",,,,,,,,390,"773,417",,,,,,
9,"3,865","91,417","24,216,164",,"11,068","130,384",697,"23,271","3,696","34,438","24,664","1,168","4,236",572,720,"1,025","11,353",,,"6,104","['Lifeline', 'Wraith', 'Bangalore']",OTS_TEMPOTTV,"1,448.00",,"7,861","3,807","8,655","8,534",662,"7,675","1,261","16,399",,,,,,,,,"4,342",,,,,,,,,,,,,,,,,,
