,Level,Kills,Damage,Matches Played,Kills Per Match,Headshots,Shotgun Kills,Season 7 Wins,Season 7 Kills,Season 8 Wins,Season 8 Kills,Season 9 Wins,Season 9 Kills,Season 10 Wins,Season 10 Kills,Season 11 Kills,Season 12 Wins,Season 13 Wins,Season 13 Kills,Season 14 Wins,Season 14 Kills,Season 15 Wins,Season 15 Kills,Season 16 Wins,Season 16 Kills,Season 17 Wins,Season 17 Kills,Season 18 Wins,Season 18 Kills,Wins,Top 3 Legends,name,Season 19 Wins,Season 19 Kills,Pistol Kills,SMG Kills,AR Kills,LMG Kills,Sniper Kills,Season 6 Wins,Season 12 Kills,Arena Kills,Arena Wins,Arena Damage,Arena Winstreak,Kills As Kill Leader,Revives,Season 11 Wins,Season 5 Wins,Winning Kills,Finishers,Season 5 Kills,Season 6 Kills,Times Top 3,Care Package Kills,Full Squad Wins,Damage Per Match
0,"1,774","47,124","10,470,265","10,152",2.64,"61,447",150,41,914,14,7,81,"1,479",155,206,991,18,0,71,37,379,13,661,85,"3,745",176,"4,638",9,"5,723",938,"['Mad Maggie', 'Wraith', 'Horizon']",twitch_itspand4,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1,328","13,032","2,333,811",,,"17,192",280,0,0,,1,,,,,,,0,989,,,85,"1,819",33,911,129,"2,381",,,377,"['Horizon', 'Pathfinder', 'Bangalore']",wllx,26,"3,116",244,"2,074",121,30,7,0,1,"5,649",894,"1,781,414",30,,,,,,,,,,,,
2,"2,414","52,821","16,373,444",,,"65,656",52,,,,,,,57,"1,248","2,145",35,284,"7,249",285,"5,406",447,"6,969",,"4,446",,81,,"1,147","1,905","['Horizon', 'Bangalore', 'Revenant']",ll NILLOC ll,11,864,,"3,662",,,,,"2,800",798,,,,10,"1,082",42,,,,,,,,,
3,910,"7,097","2,174,642",,,214,,,,,,,,,,,,,,,,,,,,,,,,193,"['Wattson', 'Octane', 'Horizon']",miso soup2955,16,"1,143",,,,,,,,,,,,,,,,,,,,,,,
4,"1,163","18,343","5,967,728",,,,,,,,,,,,,,,,,,,60,"1,207",,,,,,,"1,000","['Bangalore', 'Horizon', 'Wraith']",llVali-,,,,,,,,,,,,,88,,,,11,,,,,,,,
5,"2,416","78,181","22,360,203",,,"61,802","1,336",,,,29,,120,1,16,,,,"2,958",,318,144,"4,910",,"7,296",,"10,000",,511,"2,023","['Loba', 'Wraith', 'Pathfinder']",crqzyss,,989,,"7,651","1,623",61,165,,,"1,521",256,"1,628,860",,"1,600",828,,,7.00,26,,,,,,
6,"1,019","51,990","4,947,610",389,,"1,716",,90,289,,,,,,,,,,,,,,,,,,,,,212,"['Bangalore', 'Wraith', 'Lifeline']",TSM_MNK,,,,79,,,25,0,,,,,,,,,3,,52,,,,,,
7,"1,032","13,922","2,422,092",874,,"4,072",,0,,,,,,,,,,,812,60,"1,196",69,"2,568",21,630,61,"2,000",,,170,"['Horizon', 'Octane', 'Wraith']",Oryx vxnzy,141,"3,145",,"1,502","1,932",,,0,,,,,,,,,0,,42,0,0,,,,
8,"1,234","38,961","13,462,418",,,"67,891",,,"2,491",,,,,,,,,,,,,0,,131,"1,677",0,0,0,1,"2,361","['Loba', 'Wraith', 'Wattson']",LoveStorySnd,9,"4,381",815,"10,725",,,,,0,,,,,,"6,714",,357,,,"4,603","5,139",,,,
9,"3,195","61,051","18,657,748","11,478",,"19,442",,,,,"2,040",,,,,,,,,,,,,,,,,,,"2,109","['Ash', 'Wraith', 'Octane']",iirockyou_,,,43,,,,,,,,305,,,,,246,,,,,,,,,
