,Level,Kills,Damage,Wins,Season 5 Wins,Season 5 Kills,Top 3 Legends,name,Season 6 Wins,Season 6 Kills,Season 7 Wins,Season 7 Kills,Season 9 Wins,Season 9 Kills,Season 11 Wins,Season 11 Kills,Season 12 Wins,Season 12 Kills,Season 19 Wins,Winning Kills,Kills As Kill Leader,Headshots,Matches Played,Finishers,Revives,Full Squad Wins,Times Top 3,Shotgun Kills,LMG Kills,Sniper Kills,Care Package Kills,Season 8 Wins,Season 8 Kills,Season 10 Wins,Season 10 Kills,Season 13 Wins,Season 14 Wins,Season 15 Wins,Season 15 Kills,Season 16 Wins,Season 16 Kills,Season 17 Wins,Arena Kills,Arena Wins,Arena Damage,Neutral Airdrops Looted,Pistol Kills,Season 17 Kills,Arena Winstreak,SMG Kills,AR Kills,Kills Per Match,Season 14 Kills,Season 18 Wins,Season 18 Kills,Season 19 Kills,Season 13 Kills,Damage Per Match,Peak Rank
0,"2,873","82,773","2,042,334","4,908",314,"3,649","['Pathfinder', 'Bangalore', 'Octane']",GeosEgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1,556","80,254","24,282,001","4,904",173,"2,949","['Pathfinder', 'Octane', 'Loba']",LilY0gaPants,82,611,617,"5,764",302,"3,045",7,167,2,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"3,020","95,543","18,547,698","4,872",99,"2,114","['Fuse', 'Wraith', 'Catalyst']",i am voudu,,,,,,"2,338",,,467,"2,385",143,885.00,"10,412","36,896",363,"1,880","1,684","1,642",10,630,584,558,177,12,128,901,"11,660",0,524,528,"1,915",854,"10,192",718,287,14,"14,107",,,,,,,,,,,,,,
3,"5,173","111,543","12,360,915","4,871",7,,"['Wattson', 'Rampart', 'Gibraltar']",ExO POMSKYS,429,"7,596",3,"6,407",939,"10,927",,"3,789",109,"7,418",,,,"135,856","17,527","2,320","5,193",,276,,,,,132,"2,574","1,080","2,659",4,,,,"1,512","22,771",98,"6,414",314,,762,51,"1,477",12,,,,,,,,,,
4,"3,600","98,347","25,845,969","4,852",623,"11,286","['Octane', 'Wattson', 'Wraith']",three ttv,181,"5,929",,,,,,,,,,,52,,"9,462",,10,,"1,677",,,,11,0,,,13,,,,,,,,,,,,"10,323",,,"20,066",19,,,,,,,,
5,"2,356","74,387","15,152,363","4,831",1,"1,084","['Pathfinder', 'Horizon', 'Wraith']",Marderic,1,,259,"3,168",,,,,,,,"1,802.00",,"82,715","2,228",355,"7,770","4,233","6,744","10,020",,15,"11,482",3,"3,838",,,,,,,,,,,164,,,"5,108",,12,"9,835","21,137",2.18,,,,,,,
6,"2,743","69,328","17,256,022","4,797",296,"3,207","['Bangalore', 'Loba', 'Pathfinder']",PoTenTiaLFPS,,692,61,730,130,"1,428",61,"1,019",,,,10.00,,"75,157","17,264",915,"3,123","1,364","5,196",,,"1,625",,,,68,855,,120,470,"4,890",529,"4,428",,393,93,"170,260",,"1,992",,,"11,854","9,248",,"1,487",98,"1,492",,,,
7,"3,194","167,758","38,185,096","4,789",,"7,309","['Lifeline', 'Seer', 'Wraith']",Lrk_young_goat,361,422,103,"6,920",372,533,,120,3,1,,,"81,981","202,511","36,936",668,"10,801",,"6,556",,,,,369,1,0,"5,124",299,0,537,"21,759",94,"12,000",,,0,,,,"10,088",,"99,110","11,002",,"10,613",,"2,081","4,013","10,853",,
8,"3,236","65,671","18,041,524","4,784",365,"4,335","['Loba', 'Caustic', 'Lifeline']",DroppedEmQuick,,,,,,406,,,,,,"1,415.00","5,596",,,"4,672","9,072",,,,,506,"2,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"5,106","97,405","24,757,532","4,775",600,159,"['Lifeline', 'Horizon', 'Wraith']",Ttv_punstayztru,525,"2,951",570,,176,,,,,,,,,,,27,"25,780",,,24,,,,327,,,,,,,,,,,,,,,261,,,601,,,,,,,,,
