,Level,Kills,Damage,Matches Played,Kills As Kill Leader,Headshots,Finishers,Full Squad Wins,Sniper Kills,Season 5 Wins,Season 5 Kills,Season 6 Wins,Season 6 Kills,Season 7 Wins,Season 7 Kills,Season 11 Wins,Season 11 Kills,Season 12 Wins,Season 12 Kills,Arena Kills,Arena Wins,Wins,Top 3 Legends,name,Season 19 Wins,Season 19 Kills,Winning Kills,Revives,Times Top 3,Pistol Kills,Shotgun Kills,SMG Kills,AR Kills,Care Package Kills,Season 10 Kills,Season 14 Wins,Season 14 Kills,Kills Per Match,LMG Kills,Season 9 Wins,Season 9 Kills,Season 15 Wins,Season 15 Kills,Season 16 Wins,Season 16 Kills,Season 17 Kills,Season 8 Kills,Season 10 Wins,Season 8 Wins,Season 13 Wins,Season 13 Kills,Season 17 Wins,Season 18 Wins,Season 18 Kills,Arena Damage,Damage Per Match
0,"2,750","51,120","15,289,434","10,992","1,092","49,697",897,"2,794",748,459,139,777,"6,470",298,"1,391",9,104,73,"1,124",228,66,"4,259","['Crypto', 'Wraith', 'Caustic']",ghavinci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"2,415","83,654","2,761,704","4,979","16,635","70,094",333,"2,196",69,60,,2,,7,20,,,"1,187","8,761",,,"4,259","['Wraith', 'Horizon', 'Valkyrie']",Yukinowo,91,"2,842",962.00,"3,441","4,947","3,912","3,546","16,772","14,000","3,736","1,301",44,993,,,,,,,,,,,,,,,,,,,
2,"1,258","120,411","16,541,531","30,516","25,638","133,439",772,657,,128,,,,38,819,19,394,,,,,"4,258","['Pathfinder', 'Caustic', 'Wraith']",Resrect,160,70,557.00,20,,141,,"2,285",,95,"4,827",,,4.02,187,210,"3,816",88,"1,732",15,339,"1,164",,,,,,,,,,
3,"2,968","70,541","11,378,998","9,439","17,393","48,366",256,,,237,"2,848",129,"4,726",673,"10,972",1,"9,482",0,,15,,"4,254","['Mirage', 'Pathfinder', 'Valkyrie']",vbleedingred,,,,"4,030",,"2,318",,"5,643","4,463",,"3,921",,,,"1,242",622,"9,854",,,,,,"3,464",21,,,,,,,,
4,"3,681","56,409","20,001,078",,,"87,558","1,047","2,839",238,175,,141,,133,"1,802",172,,175,"2,004",223,9,"4,252","['Crypto', 'Wraith', 'Pathfinder']",her crypt0,,"2,650",373.00,"5,140","4,084",668,"3,251","2,998","19,427",703,,225,30,,791,303,"3,080",302,"4,040",161,"2,222","3,888","3,196",324,334,171,"1,838",317,130,"2,203","103,945",
5,"2,735","58,025","13,217,521",,695,"59,237",845,"2,066",,251,"2,329",181,751,261,869,311,"3,124",,526,,27,"4,247","['Crypto', 'Wraith', 'Pathfinder']",ItsFearHimself,291,,,"5,448",,,"1,480",,459,,"2,646",327,,,,,,476,,390,,,"1,014",327,35,137,,301,163,,,
6,"2,205","43,088",,,10,,,,7,350,,,,,,,,,,,,"4,230","['Caustic', 'Octane', 'Pathfinder']",MakeMeSayWhat,,,"1,600.00",,,16,,,,,,,,,,5,,,,,,,,,,,,,,,,
7,"1,338","76,372","22,304,666","14,709",280,"56,137","1,581","1,321",,51,837,151,"2,466",,,,,9,150,0,6,"4,230","['Bangalore', 'Pathfinder', 'Horizon']",AxAC_,,,,1,"5,317",,,,,,,,,,,,,0,,,,0,,,,,"1,970",0,0,0,0,
8,"1,960","43,990","6,948,031",,,,107,116,,99,"1,319",,898,191,"2,027",,,,,455,162,"4,229","['Loba', 'Valkyrie', 'Bangalore']",xlilbomberx710,148,"2,178",,,,,"1,226",,,,"1,588",,,,,189,0,"1,099","4,925",687,"5,264","2,029",,334,,,,638,69,791,"164,514",
9,"1,388","49,468","10,397,885",779,,,,,,3,,258,"2,027",,,96,"1,449",,,,,"4,224","['Bangalore', 'Wattson', 'Wraith']",HavocXRonin,312,"3,747",,,"2,578",,,,,,,,,1.30,,,,59,442,,,,,,,,,,,,,351.06
