,Level,Kills,Damage,Matches Played,Kills Per Match,Winning Kills,Kills As Kill Leader,Headshots,Finishers,Revives,Full Squad Wins,Times Top 3,Pistol Kills,SMG Kills,AR Kills,Sniper Kills,Care Package Kills,Season 5 Wins,Season 5 Kills,Season 6 Wins,Season 6 Kills,Season 7 Wins,Season 7 Kills,Wins,Top 3 Legends,name,Season 9 Wins,Season 9 Kills,Season 11 Kills,Season 13 Wins,Season 13 Kills,Season 16 Wins,Season 16 Kills,Arena Kills,Arena Wins,Season 19 Wins,Season 19 Kills,Season 11 Wins,Season 14 Wins,Season 17 Wins,Season 17 Kills,Season 18 Wins,Season 18 Kills,Arena Damage,LMG Kills,Season 8 Wins,Season 10 Wins,Season 10 Kills,Arena Winstreak,Season 8 Kills,Season 12 Wins,Season 12 Kills,Season 15 Wins,Season 15 Kills,Shotgun Kills,Season 14 Kills,Neutral Airdrops Looted,Damage Per Match,Peak Rank
0,"2,421","106,983","21,242,640","15,648",6.42,898.00,"36,933","60,824",242,"3,674","1,993","1,503",596,"38,705","15,320",350,"19,955",319,"1,709",106,"13,858",767,"11,815","4,174","['Wraith', 'Lifeline', 'Horizon']",Ohp lurks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"3,547","57,816","12,307,601","1,148",,,,"12,782",139,"3,594",,285,,,,6,,,118,69,693,31,,"4,171","['Loba', 'Bangalore', 'Gibraltar']",XSaltCreepX,361,"3,662",0,0,78,50,333,"1,144",212,,,,,,,,,,,,,,,,,,,,,,,,
2,"2,679","70,125","11,311,288",541,,,80,,"1,513",,376,"1,388",,,,,,312,"1,041",74,,70,"1,266","4,170","['Lifeline', 'Pathfinder', 'Wraith']",legend of berry,,,"2,651",,,,,96,22,74,"2,062",328,16,110,"1,175",10,106,"37,486",,,,,,,,,,,,,,,
3,"3,063","98,714","23,345,877","17,205",,966.00,"20,698","84,903","2,191",155,"3,198",,11,"12,905","9,077",115,"7,081",841,"6,053",1,31,383,"4,746","4,163","['Pathfinder', 'Wraith', 'Octane']",Lilb FDT,142,,,5,,,,,1,,,3,,,,,,,6,228,211,97,11,,,,,,,,,,
4,"2,887","55,834","4,503,898",,,,,"47,028",,,917,,,,,,,541,"4,939",,213,3,,"4,141","['Horizon', 'Caustic', 'Ash']",Versos,270,"1,963",0,,,170,,,,,,,,,,,,,,101,380,"5,116",,929,105,"3,575",550,"5,000",,,,,
5,"3,328","79,428","19,870,202",,,,445,"95,415","2,286",,,,342,"27,294","15,542","1,179",,,"4,394",472,"4,488",941,"16,659","4,137","['Octane', 'Gibraltar', 'Loba']",EuroLegacyx,,,"1,903",,,,,344,95,,,,,,,,,,,940,,,,"14,303",,,,,,,,,
6,"3,962","81,662","18,412,722","9,004",,,"4,772",,"5,671","10,335","2,481",,"4,126",,,,,,,342,"4,612",11,130,"4,123","['Horizon', 'Lifeline', 'Newcastle']",afroman_TV,261,671,"5,739",291,"3,018",503,"5,370",,,,,465,847,213,"2,112",,,,,472,651,"7,890",,"5,121",161,"2,060",311,"3,282","6,768","7,816",,,
7,"1,587","42,661","12,627,147",,,,,,,,,,,,,,,481,"4,239",278,"2,719",289,"2,574","4,121","['Bloodhound', 'Bangalore', 'Gibraltar']",genunguyen,142,"1,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"2,868","53,121","15,576,959","22,344",,"1,078.00","1,907","33,550","2,077","3,706","2,196","4,902",38,"4,546","9,640",,"2,594",84,"1,867",144,"2,624",183,"3,064","4,117","['Gibraltar', 'Loba', 'Bloodhound']",goforth_16,245,"3,052",471,160,"2,122",187,"1,506","1,623",313,310,"4,100",230,214,299,"2,544",110,"1,099","583,523","3,205",225,441,"4,661",,"4,053",398,"4,167",372,"3,794",745,"2,172",,,
9,"3,821","70,260","21,278,357","10,572",,,"5,085","70,572",733,507,,,,,,,,368,"5,132",5,45,102,"1,378","4,116","['Caustic', 'Wraith', 'Horizon']",WtF_iTz_Groot,,,21,,,,,,,,,,,,,,,,,,117,,,740,1,9,,,,,,,
10,"2,165","51,176","12,953,647",,,"1,504.00","5,304","79,005",,"5,071","3,487","4,990","2,824","12,184","16,485",,,211,"2,764",0,0,0,0,"4,114","['Loba', 'Mirage', 'Gibraltar']",KuruptdKilla,854,"8,254",70,124,"1,390",670,"6,142",,,,,710,143,161,"1,524",,,,,1,627,"6,183",,2,117,"1,280",500,"5,035",,"1,591",,,
11,"2,547","93,020","22,858,798",,,,"20,552","39,983",,,"2,005",,,"18,907","6,064",,,292,"2,181",,311,105,,"4,111","['Wraith', 'Ash', 'Octane']",Flamethrower531,,,"1,805",,,,,,,,,362,,,,,,,,,,,,,201,,,,"1,430",,,,
12,"2,544","63,605","16,426,726","11,002",,694.00,"3,540","86,656",642,"7,370","3,113","5,613","2,866","7,413","6,803","2,264","4,285",,,203,395,265,"2,462","4,112","['Pathfinder', 'Gibraltar', 'Lifeline']",jhummel5,4,16,"4,695",,,489,"3,846",69,,45,531,502,398,,,,,,704,697,374,"7,407",,"6,537",448,"2,929",271,"2,351",47,624,3,,
13,"4,314","57,570","16,181,006",,,,,"59,644","1,111","2,045","3,286",,564,"10,955","14,870",548,"4,033",126,"2,040",,507,835,"8,988","4,104","['Loba', 'Lifeline', 'Wraith']",Lostt Storm,11,"8,868","2,290",,,,,,,,,175,,,,,,,"3,765",555,223,"2,447",,"6,666",131,"1,747",,,,,,,
14,"2,630","81,994","20,456,537","10,968",,,,"3,596",,,"2,371",350,"1,729","28,614","29,144",155,"7,398",,,,,,,"4,102","['Bangalore', 'Revenant', 'Octane']",filthy_stepper,,,,,,202,"3,681",,,,,,,,,,,,"6,572",,,,,,,,,,,,,,
15,"2,792","66,334","16,103,728",,,,"8,104","58,205",,,,,,,,,,528,"4,356",6,,271,"4,211","4,101","['Lifeline', 'Octane', 'Bangalore']",nvthis101,345,"3,077","1,219",,,,,,,,,103,,,,,,,,315,,,,"4,855",,,,,,,,,
16,"2,138","38,200","1,354,285",,,,,,,,,,,,,,,,,,,0,,"4,100","['Horizon', 'Bangalore', 'Bloodhound']",predhtr,,,,257,"2,312",997,,,,278,"6,758",,22,389,,,,,,,151,"1,513",,,0,,"1,326","1,229",,"4,875",,,
17,"1,815","84,253","19,059,454",,,,,,,,,,,,,,,184,24,86,,101,982,"4,089","['Pathfinder', 'Mirage', 'Valkyrie']",WatermelonGremln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"3,266","107,041","27,273,337","8,155",,,"20,159","149,499","1,420","6,681",,"5,830","8,210","37,745","20,088",,,143,"3,472",118,"4,718",201,"6,061","4,078","['Wattson', 'Octane', 'Horizon']",Electrxde-TikTok,229,60,"11,042",1,20,475,"8,375",266,54,134,"3,376",511,,694,"14,483",203,"3,630",,,203,388,"6,980",75,"4,114",57,"3,945",174,"5,425","11,031","1,650",,,
19,"1,679","63,216","19,466,767",,,,,"40,818",,,,,,,,,,177,686,,,74,"1,322","4,082","['Horizon', 'Wraith', 'Valkyrie']",IAmBIackHammer,161,"1,787",751,193,"2,067",88,"1,245",,,,,35,,,,,778,,,42,,,,755,194,,338,"4,634",,,,,
20,"3,689","82,154","22,027,120","7,572",,446.00,"10,096","99,355",10,"1,430",97,,589,"22,846","6,283",226,582,450,479,99,22,18,365,"4,069","['Wraith', 'Horizon', 'Bangalore']",CFG_Phantomz,,,,0,18,558,,,10,,,,,,"1,002",,,,393,,87,"2,226",19,"4,798",,,,,"1,079",,,,
21,"2,173","56,369","15,600,308",9,,147.00,,"54,932",75,"10,724",,33,0,"5,097","6,440",2,0,147,"2,318",224,"3,783",204,"3,007","4,051","['Lifeline', 'Wraith', 'Bangalore']",jwoolia,398,"5,068","2,352",70,25,2,39,,,,,151,23,,,,,,,326,226,"3,755",14,"4,345",125,"2,131",0,8,,11,,,
22,"2,854","58,406","16,839,720",,,,"1,239","55,981",429,"3,311","1,815",,"1,041",,,,,,,,,,,"4,049","['Gibraltar', 'Pathfinder', 'Octane']",Zip Rolled U,19,446,"3,544",146,"1,489",,,"1,006",251,,,144,"1,221",45,704,,,"318,146",,,33,681,,"1,447",401,"4,264",802,"4,834",,"10,540",,,
