,Level,Kills,Damage,Wins,Headshots,Revives,Season 5 Wins,Season 6 Wins,Season 6 Kills,Season 7 Wins,Season 7 Kills,Season 8 Wins,Season 8 Kills,Season 9 Wins,Top 3 Legends,name,Matches Played,Kills Per Match,Damage Per Match,Season 5 Kills,Finishers,Full Squad Wins,Times Top 3,Season 9 Kills,Season 10 Wins,Season 10 Kills,Season 11 Wins,Season 11 Kills,Season 12 Kills,Season 13 Wins,Season 13 Kills,Season 14 Kills,Season 15 Wins,Season 15 Kills,Season 16 Wins,Season 17 Kills,Pistol Kills,Shotgun Kills,SMG Kills,Sniper Kills,Arena Kills,Winning Kills,AR Kills,LMG Kills,Care Package Kills,Season 12 Wins,Season 14 Wins,Arena Wins,Arena Damage,Kills As Kill Leader,Season 16 Kills,Season 19 Kills,Season 17 Wins,Season 19 Wins,Arena Winstreak,Season 18 Wins,Season 18 Kills,Peak Rank
0,"1,679","50,224","13,247,411","3,622","64,720","12,066",93,314,"1,186",666,"6,804",666,"4,669",333,"['Lifeline', 'Ash', 'Pathfinder']",rolllllled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"1,322","68,649","17,350,182","3,612",,,272,112,,3,,,,,"['Horizon', 'Wraith', 'Bangalore']",BlurrFlavorztv,0,0.00,0.00,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"3,250","70,214","16,849,832","3,611","74,010","16,202",25,157,18,249,2,469,"8,258",353,"['Lifeline', 'Vantage', 'Horizon']",peachyiee,136,,,219,"3,124",35,71,"8,298",192,"5,635",202,"5,312",944,33,585,"2,849",2,"1,622",12,"2,222",,,,,,,,,,,,,,,,,,,,,,
3,"1,265","80,898","20,000,911","3,610","31,684",7,137,,,,,,,,"['Loba', 'Pathfinder', 'Wraith']",LaughingPrince,,,,"2,643",,"1,079",20,,,,,,,,,,,,,,89,56,15,5,"2,472",,,,,,,,,,,,,,,,,
4,"2,352","43,247","11,945,685","3,608",,,,,,,,,,,"['Valkyrie', 'Wraith', 'Octane']",Shh Daddyz Home,"8,719",2.85,,,764,,"3,698",,,,,,,,,,,,,"3,605",,,,,,,,,,,,,,,,,,,,,,
5,"1,309","74,788","18,477,015","3,605","17,158",54,149,36,"4,118",165,"2,586",,,4,"['Wraith', 'Octane', 'Pathfinder']",Fourami_Twitch,"1,554",,,"3,962",363,"1,300","2,972",58,8,,,,144,3,,,,,,,482,"6,716","10,707",429,,754.00,153,257,161,7,7,,,,,,,,,,,
6,"1,392","77,712","21,603,816","3,602","43,600",,,,,,,,,,"['Octane', 'Pathfinder', 'Bloodhound']",infectedjello,,,,,,,,,,,,,,,,,,,,,,,,,"2,060",,,,,,,389,"837,831",,,,,,,,,
7,"3,839","90,212","22,670,974","3,591","121,116","5,256",,,,,872,,510,95,"['Valkyrie', 'Bloodhound', 'Wraith']",Sykqs,"9,667",,,,,"1,011",17,"2,238",181,"4,479",545,"11,167","10,282",513,100,"11,291",490,"8,091",382,,256,"6,701","22,278",375,"5,953",,"20,396","2,852","2,767",644,795,"1,400",,"1,095","9,016",,,,,,,
8,"3,372","65,967","14,475,668","3,584","39,112",,,257,"1,535",425,"3,285",129,"1,826",5,"['Pathfinder', 'Vantage', 'Loba']",yaaygo,731,,,"2,385",,"2,936",,"6,163",197,"2,642",,,"1,490",125,255,"2,670",552,"7,454",197,,"5,469",,,,,,,,,,193,,,"3,795","2,479",,,,,,,
9,866,"94,555","20,416,290","3,577","10,831",,,,,,,,,,"['Pathfinder', 'Lifeline', 'Wraith']",LOON3Y GOONS,"14,275",,,,654,160,,,,,23,"1,941",10,,,,,,,,"2,835",195,"18,315",,,,"10,253",,,,,9,,"27,286",,,,,,,,
