,Dmg/Min,K/D,HS%,Win %,Human K/D,Kills,Assists,Deaths,Kills/Min,Kills/Match,Matches Won,Matches Lost,Damage Dealt,Dmg/Match,Revives,Vehicles Destroyed,Multi Kills,Headshot Kills,Road Kills,Melee Kills,Vehicle Kills,Gadget Kills,Scoped Kills,Hipfire Kills,Human Kills,AI Kills,Top 3 Specialists,name
0,357,2.88,23.7%,77.0%,2.84,"705,935","232,402","245,117",3.10,73.74,"7,370","2,202","81,330,924","8,495.87","5,206",80,"150,360","121,918","3,294",253,"8,481",0,"383,514","130,117","696,771","9,175","['Mackay', 'Falck', 'Zain']",PressureHillB1G
1,104,1.86,20.8%,59.0%,1.78,"143,447","113,259","77,089",0.76,11.49,"7,360","5,118","19,710,834","1,579.27","77,205","6,426","10,350","20,365","1,048","1,209","33,526",0,"64,523","33,522","137,547","5,955","['Falck', 'Angel', 'Mackay']",Schmidti3819
2,182,5.04,24.1%,84.2%,4.23,"193,968","195,290","38,451",1.33,22.20,"7,354","1,383","26,597,553","3,044.24","12,806","9,001","31,122","20,310","1,139",301,"99,806",0,"73,480","10,788","162,699","31,345","['Irish', 'Paik', 'Mackay']",-SAGA-Xue_LANG
3,0,0.07,17.9%,36.3%,0.03,772,"1,636","11,780",0.00,0.04,"7,245","12,140","121,245",6.08,78,33,100,97,1,0,121,0,464,78,358,416,"['Sundance', 'Crawford', 'Angel']",BadBoys-Admin
4,126,1.41,18.7%,68.6%,1.09,"193,869","118,805","137,428",0.93,18.39,"7,231","3,309","26,223,536","2,487.29","9,214","24,891","30,909","22,397","1,088",147,"65,847",0,"91,513","28,544","150,342","43,564","['Mackay', 'Lis', 'Angel']",kyu-chan_5
5,381,5.98,21.3%,82.9%,4.15,"353,008","80,221","58,998",3.12,40.85,"7,166","1,463","43,016,612","4,977.62","17,400","12,119","49,307","56,414",575,"2,270","58,734",0,"191,134","73,493","245,003","108,037","['Falck', 'Zain', 'Angel']",azukayx
6,172,2.40,10.5%,64.6%,2.14,"243,637","149,658","101,717",1.44,22.10,"7,124","3,899","29,141,280","2,643.20","36,112",634,"13,263","23,950",911,"2,643","6,996",0,"178,490","48,735","217,838","25,884","['Angel', 'Blasco', 'Sundance']",OG_Venom_PR
7,249,4.91,19.1%,67.9%,4.62,"411,510","123,859","83,871",1.85,39.24,"7,117","3,369","55,270,668","5,270.40","22,613","35,365","62,365","34,625","2,013","1,024","219,917",0,"147,621","33,763","387,225","24,327","['Mackay', 'Falck', 'Boris']",FlexLanes_TTV
8,281,4.42,20.2%,65.9%,4.27,"296,201","51,869","67,051",2.47,27.39,"7,126","3,648","33,667,989","3,112.79","7,606",0,"8,938","56,801",0,250,1,0,"250,753","31,011","286,377","9,828","['Mackay', 'Angel', 'Casper']",r76_LiFE_PL
9,63,1.16,28.3%,44.6%,1.07,"96,760","90,877","83,581",0.32,6.11,"7,067","8,768","19,081,613","1,204.95","5,303","9,841","12,782","12,218","1,331",389,"28,242",0,"35,070","8,079","89,386","7,398","['Rao', 'Boris', 'Sundance']",Josh-dr7
10,197,1.71,22.1%,62.8%,1.17,"272,851","110,259","159,428",1.56,24.35,"7,043","4,164","34,388,231","3,068.46","36,301","3,451","20,032","51,599",309,"1,106","22,611",0,"213,000","20,817","187,063","85,890","['Mackay', 'Irish', 'Sundance']",XSOEIISJ_
11,168,1.07,14.8%,64.7%,0.90,"284,277","246,395","266,453",1.38,26.22,"7,013","3,827","34,646,145","3,195.55","18,561",454,"41,262","30,864","1,536","4,622","7,356",0,"83,839","124,178","240,253","44,063","['Paik', 'Mackay', 'Casper']",BatmanWillIAM
12,88,2.25,19.1%,52.4%,1.89,"144,240","128,132","64,115",0.65,10.70,"7,061","6,398","19,692,989","1,460.80","12,617","1,333","5,592","23,263",799,599,"9,552",0,"103,441","18,634","121,179","23,066","['Mackay', 'Falck', 'Angel']",Sub15FPS
13,140,2.26,22.3%,54.1%,2.15,"276,198","321,063","122,015",1.01,21.59,"6,925","5,868","38,363,527","2,998.79","57,631","8,508","23,904","47,024",988,"1,820","45,748",0,"163,025","47,768","262,866","13,430","['Blasco', 'Angel', 'Falck']",Darejang
14,108,2.05,24.8%,53.8%,1.99,"161,058","175,326","78,671",0.57,12.59,"6,884","5,861","30,832,140","2,410.08","4,026","22,700","30,465","14,701","2,165",479,"76,704",0,"25,390","33,880","156,407","4,749","['Sundance', 'Irish', 'Angel']",BiliTV_YY64251
15,114,4.14,18.2%,62.0%,3.86,"171,333","307,541","41,406",0.69,15.52,"6,851","4,191","28,134,328","2,547.94","2,262","56,044","43,801",654,719,25,"167,289",0,"2,001","1,596","159,940","11,472","['Lis', 'Sundance', 'Irish']",cyromilia
16,375,3.75,12.4%,80.7%,3.60,"580,945","160,504","154,964",3.44,68.47,"6,849","1,636","63,419,862","7,474.35","22,976",170,"77,603","67,273",463,506,"11,905",0,"489,799","54,864","557,385","23,563","['Mackay', 'Paik', 'Falck']",KRAG_GlazedGuava
17,160,2.39,19.1%,70.4%,2.25,"221,939","125,951","93,042",1.32,23.05,"6,780","2,848","26,986,073","2,802.87","120,502","6,058","13,891","34,992","3,139","1,879","24,789",0,"132,235","50,595","209,034","12,969","['Falck', 'Crawford', 'Zain']",REV-BrunoBanane
18,65,1.00,12.7%,64.1%,0.93,"95,092","75,116","94,619",0.47,9.12,"6,686","3,739","13,095,383","1,256.15","44,042","2,373","5,317","8,639","5,889",486,"22,011",0,"10,818","57,125","87,706","7,391","['Falck', 'Mackay', 'Angel']",OldGuy1949
19,322,5.35,15.9%,87.6%,5.20,"481,341","155,288","89,977",2.90,63.39,"6,651",942,"53,311,124","7,021.09","22,166",252,"44,200","72,821",722,91,"8,353",0,"331,953","124,866","467,552","13,802","['Mackay', 'Falck', 'Paik']",1_Useless_Team
20,214,2.84,18.8%,66.2%,2.56,"262,211","263,633","92,248",1.70,26.19,"6,628","3,379","33,025,188","3,298.23","18,225","3,850","31,060","31,342","1,891","1,849","70,182",0,"160,354","6,022","236,205","26,089","['Blasco', 'Sundance', 'Boris']",xSqUeRtYMaLoOnx
21,214,2.58,11.3%,63.9%,1.80,"303,279","91,542","117,576",1.81,29.35,"6,607","3,663","35,750,139","3,460.14","41,232","10,959","14,658","29,494","1,350","7,995","27,947",0,"81,628","178,351","211,589","91,739","['Falck', 'Blasco', 'Paik']",llAMQII
22,428,29.19,20.7%,67.6%,9.54,"997,847","421,413","34,181",3.85,102.17,"6,605","2,996","110,724,266","11,336.57","18,207","63,715","679,071","6,108","2,064",751,"964,932",0,"22,582","6,992","326,062","671,821","['Lis', 'Angel', 'Mackay']",Salimes
23,259,3.89,21.6%,71.9%,3.70,"392,739","175,898","100,986",2.12,42.81,"6,598","2,576","47,979,227","5,229.34","22,840","2,280","36,659","74,123","2,012","1,913","29,638",0,"295,800","46,820","373,989","18,779","['Mackay', 'Blasco', 'Angel']",EnergisedKnight
24,412,4.40,20.8%,75.6%,3.86,"700,604","114,325","159,407",4.06,82.15,"6,448","2,080","71,025,690","8,328.53","5,340","3,024","183,385","107,590","2,151","1,158","175,840",0,"417,170","99,939","615,208","85,415","['Sundance', 'Blasco', 'Irish']",xParaTVx
25,264,2.88,22.3%,71.8%,2.64,"366,563","169,457","127,394",2.27,40.79,"6,450","2,536","42,686,046","4,750.28","52,182",495,"28,501","76,150",273,720,"6,319",0,"300,066","42,080","336,264","30,412","['Falck', 'Lis', 'Paik']",-LuckyEx249-
26,195,4.14,27.1%,65.2%,3.86,"159,855","46,198","38,601",1.58,16.25,"6,409","3,425","19,732,618","2,006.16","14,956","1,946","10,969","31,133",385,623,"25,561",0,"61,778","52,953","149,189","10,671","['Falck', 'Mackay', 'Boris']",Tzameti73
