,Eliminations,Hero Damage Done,Objective Time,Games Won,Deaths,Assists,Final Blows,Objective Kills,Solo Kills,Multikills,Offensive Assists,Defensive Assists,Recon Assists,Melee Final Blows,Environmental Kills,Cards,KDA Ratio,Top 3 Heroes,name
0,"3,186","1,177,281",3h 54m,86,"1,276",0,"1,439","1,239",307,24,772,"1,139",63,34,22,52,2.50,"['Mercy', 'Lúcio', 'Sigma']",MonkeyLover1
1,"9,637","5,151,300",21h,270,"3,154","2,149","4,050","4,062",419,95,682,109,1,58,52,0,3.06,"['D.Va', 'Sigma', 'Reinhardt']",かわいいモクロー
2,60,"16,781",07m 49s,0,26,0,17,32,3,2,12,31,0,1,0,0,2.31,"['Moira', 'Winston', 'Orisa']",Superpi
3,"21,733","9,791,012",22h,653,"6,490","4,672","12,419","7,428","1,905",178,"1,105","2,437",367,716,99,0,3.35,"['Doomfist', 'Genji', 'Cassidy']",HeliosUwU
4,"6,667","2,164,576",9h 08m,270,"3,616","8,627","2,395","2,866",371,22,"1,756","9,478",15,30,24,0,1.84,"['Baptiste', 'Brigitte', 'Ashe']",Bigtuna04
5,"4,670","1,726,395",9h 34m,270,"3,481","8,782","1,527","2,068",175,36,"2,322","8,227",5,41,19,0,1.34,"['Lifeweaver', 'Mercy', 'Ana']",IMBLIND
6,18,"6,169",01m 11s,2,14,34,7,7,3,40,4,35,79,1,10,0,1.29,"['Mercy', 'Tracer', 'Sombra']",Toncheck
7,17,"8,943",34s,0,17,0,13,2,6,0,0,0,0,0,0,0,1.00,"['Tracer', 'Cassidy', 'Echo']",RapBlade
8,"3,111","1,325,335",3h 30m,74,"1,342",0,"1,462","1,119",202,41,304,420,7,29,5,40,2.32,"['Reinhardt', 'Genji', 'Soldier: 76']",Azemix96
9,62,"25,484",07m 41s,1,13,23,28,33,2,1,6,58,5,5,2,0,4.77,"['Cassidy', 'Sombra', 'Widowmaker']",Adam
10,872,"279,273",1h 58m,44,598,0,262,465,34,6,527,"1,483",9,0,8,52,1.46,"['Mercy', 'Brigitte', 'Lúcio']",Solace
11,"9,874","4,975,513",8h 24m,268,"4,156","3,741","4,724","3,631",853,75,774,"3,361",15,31,11,0,2.38,"['Soldier: 76', 'Junkrat', 'Moira']",FORCETRAIN
12,584,"228,571",44m 25s,21,312,128,296,226,53,4,67,50,3,7,5,0,1.87,"['Mei', 'Ashe', 'Pharah']",SepiaViper
13,805,"337,539",1h 00m,33,365,0,416,280,73,4,94,109,3,12,7,19,2.21,"['Reinhardt', 'Genji', 'Roadhog']",Lilperks
14,"9,767","4,715,493",15h,233,"3,101","2,918","4,749","3,592",576,93,"1,236",886,147,150,48,0,3.15,"['Orisa', 'D.Va', 'Zarya']",Bigpune082
15,"2,897","1,055,517",3h 28m,111,975,"1,327","1,348","1,149",192,27,224,"1,083",0,29,4,0,2.97,"['Lifeweaver', 'Moira', 'D.Va']",DrNic23
16,"1,165","421,763",2h 32m,65,669,0,341,530,22,8,275,769,0,0,5,57,1.74,"['Zarya', 'Mercy', 'Reinhardt']",HarisPilton
17,632,"274,416",40m 45s,22,173,148,335,233,51,5,11,83,0,14,2,0,3.65,"['Doomfist', 'Wrecking Ball', 'Baptiste']",Leb
18,"1,150","439,573",2h 07m,72,606,"1,360",524,539,79,6,544,"1,171",15,9,12,0,1.90,"['Mercy', 'Brigitte', 'Lifeweaver']",h4Percival
19,"9,268","3,984,387",15h,394,"5,594","3,685","3,598","4,061",417,67,"1,240","2,670",9,43,11,0,1.66,"['Bastion', 'Moira', 'Orisa']",LupusRex
20,317,"77,261",53m 12s,18,298,660,137,149,33,2,176,633,30,1,20,0,1.06,"['Reaper', 'Soldier: 76', 'Kiriko']",Rehsile
21,629,"232,020",39m 03s,26,298,262,320,171,51,3,95,188,7,16,0,0,2.11,"['Genji', 'Ana', 'Mercy']",akainu
22,"3,336","1,244,320",2h 07m,71,"1,168",0,"1,741",994,398,42,419,493,21,50,19,45,2.86,"['Genji', 'Cassidy', 'Lúcio']",Noah
23,"1,335","552,231",2h 08m,32,833,0,645,595,99,18,281,473,6,19,25,16,1.60,"['Baptiste', 'Roadhog', 'Pharah']",Hyperbolic
