,name,GENERAL - COMBAT.PVPAccuracy,GENERAL - COMBAT.PVPMeleeKills,GENERAL - COMBAT.PVPBlindKills,GENERAL - COMBAT.PVPPenetrationKills,GENERAL - COMBAT.PVPSuicides,GENERAL - COMBAT.PVPBulletsHit,GENERAL - COMBAT.PVPBulletsFired,GENERAL - COMBAT.PVPRappelBreach,GENERAL - COMBAT.PVPDBNOs,GENERAL.PVPKDRatio,GENERAL.PVPDeaths,GENERAL.PVPHeadshots,GENERAL.PVPMatchesWon,GENERAL.PVPMatchesLost,GENERAL.PVPWLRatio,GENERAL.PVPTimePlayed,GENERAL.PVPMatchesPlayed,GENERAL.PVPTotalXp,GENERAL.PVPKills,GENERAL - TEAM PLAY.PVPDBNOAssists,GENERAL - TEAM PLAY.PVPKillAssists,GENERAL - TEAM PLAY.PVPRevives,GENERAL - TEAM PLAY.PVPHostagesRescued,GENERAL - TEAM PLAY.PVPHostageDefense,GENERAL - TEAM PLAY.PVPReinforcementsDeployed,GENERAL - TEAM PLAY.PVPBarricadesDeployed,GENERAL - TEAM PLAY.PVPGadgetsDestroyed,GENERAL - TEAM PLAY.PVPServerAggression,GENERAL - TEAM PLAY.PVPServerDefender,GENERAL - TEAM PLAY.PVPServersHacked,GENERAL - TEAM PLAY.PVPReviveDenied,CASUAL.CasualTimePlayed,CASUAL.CasualWins,CASUAL.CasualLosses,CASUAL.CasualMatches,CASUAL.CasualDeaths,CASUAL.CasualKills,CASUAL.CasualWLRatio,CASUAL.CasualKDRatio,CASUAL.CasualKillsPerMatch,CASUAL.CasualKillsPerMinute,RANKED.RankedTimePlayed,RANKED.RankedWins,RANKED.RankedLosses,RANKED.RankedMatches,RANKED.RankedDeaths,RANKED.RankedKills,RANKED.RankedWLRatio,RANKED.RankedKDRatio,RANKED.RankedKillsPerMatch,RANKED.RankedKillsPerMinute
0,Filthy6,46.10,888,114,"3,973",257,"504,615","865,398",211,"27,321",1.42,"64,921","21,010","13,503","8,032",62.1%,"5,387H 18M 42S","21,753","176,333,862","92,256","5,246","20,715","1,704",179,269,"59,919","12,465","62,404","2,299","2,099","1,207",14,"2,693H 1M 57S","7,713","4,303","12,016","29,777","45,192",64.2%,1.52,3.76,0.28,968H 2M 3S,"1,598","1,247","2,845","11,013","14,207",56.2%,1.29,4.99,0.24
1,HTX_Ru7h13zz,45.90,941,64,"2,383",195,"288,000","1,777",32,"17,046",1.12,"58,786","12,798","13,499","6,332",64.9%,"5,082H 57M 54S","20,815","103,825,270","65,906","3,002","13,905","1,153",45,55,"34,194","3,063","28,774",498,847,153,0,"2,029H 26M 56S","5,616","3,327","8,943","26,332","28,238",62.8%,1.07,3.16,0.23,714H 58M 30S,"1,213",936,"2,154","8,866","8,921",56.3%,1.01,4.14,0.21
2,myslina7,47.90,922,120,"7,606",183,"785,206","1,530,713",271,"38,118",1.31,"113,671","42,676","13,492","11,412",52.9%,"7,958H 58M 30S","25,500","244,815,184","149,075","5,128","27,890","2,875",243,365,"61,181","7,350","91,088","1,404","1,229",716,13,70H 40M 49S,214,100,314,988,"1,639",68.2%,1.66,5.22,0.39,"7,880H 20M 38S","12,988","11,166","24,172","110,388","143,803",53.7%,1.30,5.95,0.30
3,KOEN-.,56.00,495,73,"3,746",74,"416,177","694,326",18,"17,864",2.25,"29,005","26,919","13,492","2,075",85.7%,"3,132H 43M 53S","15,736","127,696,240","65,379","2,881","12,053","1,467",132,244,"24,900","3,491","43,162",435,323,286,11,"2,265H 15M 8S","10,082","1,488","11,570","20,174","47,567",87.1%,2.36,4.11,0.35,147H 30M 6S,469,111,580,"1,471","2,805",80.9%,1.91,4.84,0.32
4,l-Zul_Qarnayn-l,24.90,"3,578",100,"2,639",397,"372,986","1,002,472",341,"22,498",0.89,"78,092","13,729","13,492","9,978",51.1%,"7,018H 35M 1S","26,384","150,838,317","69,890","4,291","18,762","1,187",126,201,"57,398","9,098","58,801","1,624","1,644",797,10,"2,174H 49M 28S","5,495","3,898","9,393","29,013","25,846",58.5%,0.89,2.75,0.20,"1,990H 9M 49S","3,087","2,828","5,915","25,539","22,301",52.2%,0.87,3.77,0.19
5,SPQQPY,43.50,815,76,"2,903",151,"428,879","882,281",79,"18,907",1.70,"33,590","18,931","13,484","2,494",84.1%,"3,541H 15M 16S","16,027","139,682,166","56,957","3,328","13,257","1,447",146,177,"54,488","12,133","50,517",868,682,481,12,"2,361H 57M 45S","9,718","1,736","11,454","21,210","37,813",84.8%,1.78,3.30,0.27,499H 8M 29S,"1,222",392,"1,614","4,664","6,205",75.7%,1.33,3.84,0.21
6,zxart001,44.30,"1,795",107,"4,325",220,"561,246","743,112",144,"29,027",1.37,"61,660","27,073","13,452","7,823",61.9%,"4,901H 54M 23S","21,735","173,219,307","84,496","4,016","18,778","2,664",352,546,"38,332","4,793","54,328","2,154","1,778","1,109",7,"3,210H 44M 23S","9,478","5,551","15,029","41,744","56,606",63.1%,1.36,3.77,0.29,830H 51M 44S,"1,537",881,"2,422","9,123","14,875",63.5%,1.63,6.14,0.30
7,Rusty,56.40,744,49,"4,633",165,"408,928","2,542",1,"17,724",1.72,"54,318","32,069","13,432","3,931",76.5%,"3,799H 52M 38S","17,555","149,665,883","93,639","2,831","15,027","1,164",6,20,"33,085",779,"55,084",167,134,53,0,"1,699H 23M 42S","6,574","2,122","8,696","23,075","38,024",75.6%,1.65,4.37,0.37,722H 48M 14S,"1,669",621,"2,292","8,362","11,771",72.8%,1.41,5.14,0.27
8,Nctd,42.60,269,37,"2,302",64,"284,326","168,157",42,"13,700",1.88,"35,874","14,756","13,430","2,326",82.3%,"4,595H 3M 52S","16,314","86,117,744","67,536","2,339","9,148",733,23,41,"28,745",924,"28,619",498,598,199,1,935H 48M 50S,"2,788",875,"3,663","11,102","18,057",76.1%,1.63,4.93,0.32,619H 1M 37S,"1,125",724,"1,852","7,035","8,110",60.7%,1.15,4.38,0.22
9,ABOMINAVEL2013,39.80,"1,607",72,"4,129",274,"574,926","1,114,167",32,"30,154",1.02,"97,783","27,426","13,426","12,465",50.2%,"6,308H 1M 17S","26,750","179,264,306","100,073","3,878","23,282","2,399",145,136,"36,890","5,520","56,855",795,530,396,14,"2,558H 55M 44S","6,608","6,016","12,624","40,434","38,909",52.3%,0.96,3.08,0.25,"2,604H 31M 33S","4,266","3,952","8,223","37,610","40,346",51.9%,1.07,4.91,0.26
