,Operator Name,health,speed,difficulty
0,TUBARÃO,2,2,0
1,FENRIR,2,2,3
2,SOLIS,2,2,3
3,AZAMI,2,2,3
4,THORN,2,2,1
5,THUNDERBIRD,2,2,1
6,ARUNI,3,1,2
7,MELUSI,3,1,1
8,ORYX,2,2,2
9,WAMAI,2,2,2
10,GOYO,2,2,2
11,WARDEN,3,1,2
12,MOZZIE,2,2,2
13,KAID,3,1,2
14,CLASH,3,1,3
15,MAESTRO,3,1,2
16,ALIBI,1,3,3
17,VIGIL,1,3,3
18,ELA,2,2,1
19,LESION,2,2,1
20,MIRA,3,1,3
21,ECHO,2,2,3
22,CAVEIRA,1,3,3
23,VALKYRIE,2,2,2
24,FROST,2,2,1
25,MUTE,3,1,1
26,SMOKE,2,2,2
27,CASTLE,2,2,2
28,PULSE,1,3,3
29,DOC,3,1,1
30,ROOK,3,1,1
31,JÄGER,2,2,2
32,BANDIT,1,3,1
33,TACHANKA,3,1,1
34,KAPKAN,2,2,1
